,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
18,,Region of the Americas,,,,,
19,United States of America,68334,4764.0,991.0,107.0,Local transmission,0.0
20,Canada,3555,146.0,35.0,0.0,Local transmission,0.0
21,Brazil,2433,0.0,57.0,0.0,Local transmission,1.0
22,Chile,1306,164.0,4.0,1.0,Local transmission,0.0
23,Ecuador,1211,0.0,29.0,0.0,Local transmission,1.0
24,Peru,580,100.0,9.0,0.0,Local transmission,0.0
25,Panama,558,0.0,8.0,0.0,Local transmission,1.0
26,Argentina,502,115.0,8.0,2.0,Local transmission,0.0
27,Dominican Republic,488,96.0,10.0,0.0,Local transmission,0.0
28,Mexico,478,0.0,5.0,0.0,Local transmission,1.0
29,Colombia,470,0.0,4.0,0.0,Local transmission,1.0
30,Uruguay,217,0.0,0.0,0.0,Imported cases only,1.0
31,Costa Rica,201,0.0,2.0,0.0,Local transmission,1.0
32,Venezuela (Bolivarian Republic of),91,0.0,0.0,0.0,Local transmission,1.0
33,Cuba,67,10.0,1.0,0.0,Local transmission,0.0
34,Trinidad and Tobago,61,1.0,1.0,0.0,Local transmission,0.0
35,Honduras,52,0.0,1.0,1.0,Local transmission,1.0
36,Paraguay,41,0.0,3.0,0.0,Local transmission,1.0
37,Bolivia (Plurinational State of),39,0.0,0.0,0.0,Local transmission,1.0
38,Jamaica,26,0.0,1.0,0.0,Local transmission,1.0
39,Guatemala,24,0.0,1.0,0.0,Local transmission,1.0
40,Barbados,18,0.0,0.0,0.0,Local transmission,2.0
41,El Salvador,13,0.0,0.0,0.0,Imported cases only,1.0
42,Dominica,11,4.0,0.0,0.0,Local transmission,0.0
43,Haiti,8,0.0,0.0,0.0,Imported cases only,1.0
44,Grenada,7,6.0,0.0,0.0,Local transmission,0.0
45,Suriname,7,0.0,0.0,0.0,Imported cases only,1.0
46,Bahamas,5,0.0,0.0,0.0,Local transmission,1.0
47,Guyana,5,0.0,1.0,0.0,Local transmission,8.0
48,Antigua and Barbuda,3,0.0,0.0,0.0,Imported cases only,2.0
49,Saint Lucia,3,0.0,0.0,0.0,Imported cases only,3.0
