,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
0,,Total,Total,,Total,,Days since last
1,Reporting Country/,,,Total,,Transmission,
2,Territory/Area  †,confirmed ‡  cases,confirmed new cases,deaths,new deaths,classification§,reported case
3,Western Pacific Region,,,,,,
4,China,82078,117,3298,5,Local transmission,0
5,Republic of Korea,9332,91,139,8,Local transmission,0
6,Australia,2985,186,13,2,Local transmission,0
7,Malaysia,2031,235,23,4,Local transmission,0
8,Japan,1387,96,46,1,Local transmission,0
9,Philippines,707,71,45,7,Local transmission,0
10,Singapore,683,52,2,0,Local transmission,0
11,New Zealand,338,76,0,0,Local transmission,0
12,Viet Nam,153,12,0,0,Local transmission,0
13,Brunei Darussalam,114,5,0,0,Local transmission,0
14,Cambodia,98,2,0,0,Local transmission,0
15,Mongolia,11,1,0,0,Imported cases only,0
16,Lao People's,,,,,,
17,,6,3,0,0,Under investigation,0
18,Democratic Republic,,,,,,
19,Fiji,5,0,0,0,Local transmission,1
20,Papua New Guinea,1,0,0,0,Imported cases only,6
21,Territories**,,,,,,
22,Guam,45,8,1,0,Local transmission,0
23,French Polynesia,30,5,0,0,Local transmission,0
24,New Caledonia,14,0,0,0,Local transmission,1
25,European Region,,,,,,
26,Italy,80539,6153,8165,660,Local transmission,0
27,Spain,56188,8578,4089,655,Local transmission,0
28,Germany,42288,5780,253,55,Local transmission,0
29,France,28786,3866,1695,364,Local transmission,0
30,The United Kingdom,11662,2129,578,115,Local transmission,0
31,Switzerland,10714,1000,161,58,Local transmission,0
33,Austria,7029,1141,52,18,Local transmission,0
34,Belgium,6235,1298,220,42,Local transmission,0
35,Turkey,3629,1196,75,16,Local transmission,0
37,Norway,3156,240,14,2,Local transmission,0
38,Israel,3035,666,10,5,Local transmission,0
40,Czechia,2062,408,9,3,Local transmission,0
41,Denmark,1877,153,41,7,Local transmission,0
42,Ireland,1819,255,19,10,Local transmission,0
43,Luxembourg,1453,120,9,1,Local transmission,0
44,Poland,1221,170,16,2,Local transmission,0
45,Russian Federation,1036,196,3,1,Local transmission,0
46,Romania,1029,123,17,4,Local transmission,0
47,Finland,958,78,4,1,Local transmission,0
48,Greece,892,71,26,4,Local transmission,0
49,Iceland,802,65,2,0,Local transmission,0
50,Slovenia,577,49,5,1,Local transmission,0
0,Estonia,538,134.0,1.0,0.0,Local transmission,0.0
1,Croatia,495,77.0,2.0,1.0,Local transmission,0.0
2,Serbia,457,73.0,7.0,3.0,Local transmission,0.0
3,Armenia,329,39.0,1.0,1.0,Local transmission,0.0
4,Hungary,300,39.0,10.0,0.0,Local transmission,0.0
5,Lithuania,299,25.0,4.0,0.0,Local transmission,0.0
6,Bulgaria,264,22.0,3.0,0.0,Local transmission,0.0
7,Latvia,244,23.0,0.0,0.0,Local transmission,0.0
8,Andorra,231,18.0,3.0,0.0,Local transmission,0.0
9,Slovakia,226,10.0,0.0,0.0,Local transmission,0.0
10,San Marino,218,10.0,21.0,0.0,Local transmission,0.0
11,Ukraine,218,62.0,5.0,0.0,Local transmission,0.0
12,Bosnia and Herzegovina,213,40.0,3.0,0.0,Local transmission,0.0
13,North Macedonia,201,24.0,3.0,1.0,Local transmission,0.0
14,Albania,186,12.0,8.0,3.0,Local transmission,0.0
15,Republic of Moldova,177,28.0,2.0,1.0,Local transmission,0.0
16,Cyprus,146,14.0,3.0,0.0,Local transmission,0.0
17,Malta,134,5.0,0.0,0.0,Local transmission,0.0
18,Kazakhstan,125,28.0,0.0,0.0,Imported cases only,0.0
19,Azerbaijan,122,29.0,3.0,1.0,Local transmission,0.0
20,Belarus,86,0.0,0.0,0.0,Local transmission,1.0
21,Uzbekistan,83,18.0,0.0,0.0,Local transmission,0.0
22,Georgia,81,4.0,0.0,0.0,Local transmission,0.0
23,Montenegro,67,15.0,1.0,0.0,Local transmission,0.0
24,Kyrgyzstan,58,14.0,0.0,0.0,Local transmission,0.0
25,Liechtenstein,56,5.0,0.0,0.0,Imported cases only,0.0
26,Monaco,19,0.0,0.0,0.0,Local transmission,4.0
27,Holy See,4,0.0,0.0,0.0,Under investigation,1.0
28,,erritories**,,,,,
29,Faroe Islands,140,8.0,0.0,0.0,Local transmission,0.0
30,Kosovo[1],79,8.0,1.0,0.0,Local transmission,0.0
31,Gibraltar,35,9.0,0.0,0.0,Local transmission,0.0
32,Guernsey,34,4.0,0.0,0.0,Local transmission,0.0
33,Jersey,32,14.0,1.0,1.0,Local transmission,0.0
34,Isle of Man,26,3.0,0.0,0.0,Local transmission,0.0
35,Greenland,6,1.0,0.0,0.0,Under investigation,0.0
36,,outh-East Asia Region,,,,,
37,Thailand,1136,202.0,5.0,1.0,Local transmission,0.0
38,Indonesia,893,103.0,78.0,20.0,Local transmission,0.0
39,India,724,75.0,17.0,4.0,Local transmission,0.0
40,Sri Lanka,106,4.0,0.0,0.0,Local transmission,0.0
41,Bangladesh,48,9.0,5.0,1.0,Local transmission,0.0
42,Maldives,13,0.0,0.0,0.0,Local transmission,11.0
43,Myanmar,5,2.0,0.0,0.0,Imported cases only,0.0
44,Bhutan,3,1.0,0.0,0.0,Imported cases only,0.0
45,Nepal,3,0.0,0.0,0.0,Imported cases only,1.0
46,Timor-Leste,1,0.0,0.0,0.0,Imported cases only,6.0
47,,astern Mediterranean Region,,,,,
48,Iran (Islamic Republic of),29406,2389.0,2234.0,157.0,Local transmission,0.0
49,Pakistan,1057,0.0,8.0,0.0,Local transmission,1.0
50,Saudi Arabia,1012,112.0,3.0,1.0,Local transmission,0.0
51,Qatar,549,12.0,0.0,0.0,Local transmission,0.0
0,Egypt,495,39.0,24.0,3.0,Local transmission,0.0
1,Bahrain,458,39.0,4.0,0.0,Local transmission,0.0
2,Iraq,382,36.0,36.0,7.0,Local transmission,0.0
3,Lebanon,368,35.0,6.0,2.0,Local transmission,0.0
4,United Arab Emirates,333,0.0,2.0,0.0,Local transmission,1.0
5,Morocco,275,50.0,10.0,4.0,Local transmission,0.0
6,Jordan,212,40.0,0.0,0.0,Local transmission,0.0
7,Kuwait,208,0.0,0.0,0.0,Local transmission,1.0
8,Tunisia,197,24.0,5.0,0.0,Local transmission,0.0
9,Oman,109,10.0,0.0,0.0,Local transmission,0.0
10,Afghanistan,80,0.0,2.0,0.0,Local transmission,1.0
11,Djibouti,12,0.0,0.0,0.0,Local transmission,1.0
12,Syrian Arab Republic,5,0.0,0.0,0.0,Imported cases only,1.0
13,Somalia,3,1.0,0.0,0.0,Imported cases only,0.0
14,Sudan,3,0.0,1.0,0.0,Imported cases only,2.0
15,Libya,1,0.0,0.0,0.0,Imported cases only,2.0
16,,Territories**,,,,,
17,occupied Palestinian territory,84,20.0,1.0,0.0,Local transmission,0.0
