,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
47,Grenada,7,0.0,0.0,0.0,Local transmission,1.0
48,Guyana,5,0.0,1.0,0.0,Local transmission,9.0
49,Saint Lucia,3,0.0,0.0,0.0,Imported cases only,4.0
0,Belize,2,0.0,0.0,0.0,Local transmission,2.0
1,Nicaragua,2,0.0,1.0,1.0,Imported cases only,6.0
2,Saint Kitts and Nevis,2,0.0,0.0,0.0,Imported cases only,2.0
3,Saint Vincent and the Grenadines,1,0.0,0.0,0.0,Imported cases only,15.0
4,,Territories**,,,,,
5,Guadeloupe,96,20.0,2.0,2.0,Imported cases only,0.0
6,Martinique,93,27.0,1.0,0.0,Imported cases only,0.0
7,Puerto Rico,64,0.0,2.0,0.0,Imported cases only,1.0
8,French Guiana,31,3.0,0.0,0.0,Local transmission,0.0
9,Aruba,28,9.0,0.0,0.0,Local transmission,0.0
10,United States Virgin Islands,17,0.0,0.0,0.0,Imported cases only,4.0
11,Bermuda,15,8.0,0.0,0.0,Local transmission,0.0
12,Saint Martin,12,1.0,0.0,0.0,Under investigation,0.0
13,Cayman Islands,8,0.0,1.0,0.0,Imported cases only,2.0
14,Curaçao,7,0.0,1.0,0.0,Imported cases only,1.0
15,Montserrat,5,3.0,0.0,0.0,Imported cases only,0.0
16,Saint Barthélemy,5,2.0,0.0,0.0,Under investigation,0.0
17,Sint Maarten,3,1.0,0.0,0.0,Imported cases only,0.0
18,Anguilla,2,0.0,0.0,0.0,Local transmission,1.0
19,British Virgin Islands,2,0.0,0.0,0.0,Imported cases only,1.0
20,Turks and Caicos Islands,2,0.0,0.0,0.0,Imported cases only,1.0
21,,African Region,,,,,
22,South Africa,1170,243.0,2.0,2.0,Local transmission,0.0
23,Algeria,367,62.0,25.0,4.0,Local transmission,0.0
24,Burkina Faso,146,0.0,3.0,0.0,Local transmission,2.0
25,Ghana,137,5.0,4.0,1.0,Local transmission,0.0
26,Senegal,119,14.0,0.0,0.0,Local transmission,0.0
27,Mauritius,96,15.0,2.0,0.0,Imported cases only,0.0
28,Cote d’Ivoire,92,12.0,0.0,0.0,Imported cases only,0.0
29,Cameroon,75,0.0,1.0,0.0,Local transmission,1.0
30,Nigeria,65,0.0,1.0,0.0,Local transmission,1.0
