,country,total_cases,total_deaths,outbreak_qid,outbreak
551,Dominican Republic,21,1.0,Q87563855,2020 coronavirus pandemic in the Dominican Republic
556,Jamaica,13,0.0,Q87610822,2020 coronavirus pandemic in Jamaica
562,Paraguay,11,0.0,Q87589123,2020 coronavirus pandemic in Paraguay
566,Cuba,10,1.0,Q87590993,2020 coronavirus pandemic in Cuba
570,Honduras,9,0.0,Q87589392,2020 coronavirus pandemic in Honduras
575,Trinidad and Tobago,7,0.0,Q87694131,2020 coronavirus pandemic in Trinidad and Tobago
579,Guatemala,6,1.0,Q87669612,2020 coronavirus pandemic in Guatemala
583,Guyana,4,1.0,Q87659698,2020 coronavirus pandemic in Guyana
588,Bahamas,3,0.0,Q87755488,2020 coronavirus pandemic in the Bahamas
594,Saint Lucia,2,0.0,Q87707727,2020 coronavirus pandemic in Saint Lucia
598,Antigua and Barbuda,1,0.0,Q87708331,2020 coronavirus pandemic in Antigua and Barbuda
603,Suriname,1,0.0,Q87664046,2020 coronavirus pandemic in Suriname
615,Aruba,4,0.0,Q87708719,2020 coronavirus pandemic in Aruba
622,Curaçao,3,0.0,Q87709760,2020 coronavirus pandemic in Curaçao
5,China,81174,3242,Q83872271,2019–20 coronavirus pandemic in mainland China
6,Republic of Korea,8413,84,Q83872398,2019–20 COVID-19 outbreak in South Korea
12,Viet Nam,66,0,Q83873057,2019–20 coronavirus outbreak in Vietnam
13,Brunei Darussalam,56,0,Q87412028,2020 coronavirus outbreak in Brunei
32,Czechia,522,0,Q86919406,2020 coronavirus outbreak in the Czech Republic
44,Russian Federation,147,0,Q84098939,2019–20 coronavirus outbreak in Russia
53,Cyprus,58,0.0,Q87580938,2020 coronavirus pandemic in Cyprus
61,Republic of Moldova,36,0.0,Q87592982,2020 coronavirus pandemic in Moldova
