,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
12,Ecuador,155,97.0,2.0,0.0,Local transmission,0.0
13,Peru,145,59.0,0.0,0.0,Local transmission,0.0
14,Colombia,93,48.0,0.0,0.0,Local transmission,0.0
15,Mexico,93,11.0,0.0,0.0,Imported cases only,0.0
16,Panama,86,17.0,1.0,0.0,Local transmission,0.0
17,Argentina,79,14.0,2.0,0.0,Local transmission,0.0
18,Costa Rica,50,9.0,0.0,0.0,Local transmission,0.0
19,Venezuela (BolivarianRepublic of),36,3.0,0.0,0.0,Imported cases only,0.0
20,Uruguay,29,23.0,0.0,0.0,Imported cases only,0.0
21,Dominican Republic,21,0.0,1.0,0.0,Local transmission,1.0
22,Jamaica,13,1.0,0.0,0.0,Local transmission,0.0
23,Bolivia (PlurinationalState of),12,1.0,0.0,0.0,Imported cases only,0.0
24,Paraguay,11,2.0,0.0,0.0,Local transmission,0.0
25,Cuba,10,5.0,1.0,0.0,Local transmission,0.0
26,Honduras,9,1.0,0.0,0.0,Imported cases only,0.0
27,Trinidad and Tobago,7,2.0,0.0,0.0,Imported cases only,0.0
28,Guatemala,6,0.0,1.0,0.0,Imported cases only,1.0
29,Guyana,4,1.0,1.0,0.0,Local transmission,0.0
30,Bahamas,3,2.0,0.0,0.0,Local transmission,0.0
31,Barbados,2,2.0,0.0,0.0,Imported cases only,0.0
32,Saint Lucia,2,0.0,0.0,0.0,Imported cases only,3.0
33,Antigua and Barbuda,1,0.0,0.0,0.0,Imported cases only,5.0
34,Montserrat,1,1.0,0.0,0.0,Imported cases only,0.0
35,Saint Vincent and theGrenadines,1,0.0,0.0,0.0,Imported cases only,5.0
36,Suriname,1,0.0,0.0,0.0,Imported cases only,3.0
37,,erritories**,,,,,
38,Guadeloupe,33,15.0,0.0,0.0,Imported cases only,0.0
39,Martinique,23,7.0,0.0,0.0,Imported cases only,0.0
40,French Guiana,11,4.0,0.0,0.0,Imported cases only,0.0
41,Puerto Rico,5,2.0,0.0,0.0,Imported cases only,0.0
42,Aruba,4,2.0,0.0,0.0,Imported cases only,0.0
43,Saint Martin,4,2.0,0.0,0.0,Under investigation,0.0
44,Curaçao,3,0.0,0.0,0.0,Imported cases only,1.0
45,Saint Barthélemy,3,0.0,0.0,0.0,Under investigation,3.0
46,United States VirginIslands,2,0.0,0.0,0.0,Imported cases only,1.0
47,Cayman Islands,1,0.0,1.0,0.0,Imported cases only,5.0
