"Genes"	"Topic"	"count"
"666"	"SLC19A1"	"ACE2"	0
"667"	"KCNS3"	"ACE2"	0
"668"	"TMEM147"	"ACE2"	0
"669"	"PDZRN3"	"ACE2"	0
"670"	"SLC35C2"	"ACE2"	0
"671"	"MGAT1"	"ACE2"	0
"672"	"MPLKIP"	"ACE2"	0
"673"	"SLC10A3"	"ACE2"	0
"674"	"PSD4"	"ACE2"	0
"675"	"ZFYVE27"	"ACE2"	0
"676"	"SNX17"	"ACE2"	0
"677"	"SCAMP3"	"ACE2"	0
"678"	"PEX16"	"ACE2"	0
"679"	"AAR2"	"ACE2"	0
"680"	"P2RX4"	"ACE2"	0
"681"	"CTBP2"	"ACE2"	0
"682"	"TMEM219"	"ACE2"	0
"683"	"GSTK1"	"ACE2"	0
"684"	"TSPAN13"	"ACE2"	0
"685"	"RHOB"	"ACE2"	0
"686"	"URM1"	"ACE2"	0
"687"	"MST1R"	"ACE2"	0
"688"	"SUMO3"	"ACE2"	0
"689"	"MVK"	"ACE2"	0
"690"	"GTF3C2"	"ACE2"	0
"691"	"LEPROTL1"	"ACE2"	0
"692"	"KAT8"	"ACE2"	0
"693"	"STAP2"	"ACE2"	0
"694"	"TMEM62"	"ACE2"	0
"695"	"BRMS1"	"ACE2"	0
"696"	"TMEM179B"	"ACE2"	0
"697"	"VPS28"	"ACE2"	0
"698"	"RBM12"	"ACE2"	0
"699"	"C17orf62"	"ACE2"	0
"700"	"BLCAP"	"ACE2"	0
"701"	"ATP6V0B"	"ACE2"	0
"702"	"PSMB4"	"ACE2"	0
"703"	"APEH"	"ACE2"	0
"704"	"MFSD3"	"ACE2"	0
"705"	"NUDT22"	"ACE2"	0
"706"	"PIGO"	"ACE2"	0
"707"	"MINDY2"	"ACE2"	0
"708"	"TM7SF2"	"ACE2"	0
"709"	"MRPL4"	"ACE2"	0
"710"	"JTB"	"ACE2"	0
"711"	"FARSA"	"ACE2"	0
"712"	"RENBP"	"ACE2"	1
"713"	"TANGO2"	"ACE2"	0
"714"	"AP5S1"	"ACE2"	0
"715"	"HTRA2"	"ACE2"	0
"716"	"NUBP2"	"ACE2"	0
"717"	"WRB"	"ACE2"	0
"718"	"UBE2I"	"ACE2"	0
"719"	"Probes"	"histone"	1103
"720"	"MARCH7"	"histone"	0
"721"	"SEPT10"	"histone"	0
"722"	"AASS"	"histone"	1
"723"	"AATF"	"histone"	6
"724"	"ACACA"	"histone"	5
"725"	"ACADM"	"histone"	0
"726"	"ACE2"	"histone"	13
"727"	"ACSL1"	"histone"	7
"728"	"ACSL5"	"histone"	0
"729"	"ACSM3"	"histone"	1
"730"	"ACSS3"	"histone"	0
"731"	"ADAM10"	"histone"	8
"732"	"ADAMTS3"	"histone"	0
"733"	"ADD3"	"histone"	0
"734"	"ADSS"	"histone"	0
"735"	"AGL"	"histone"	0
"736"	"AGTPBP1"	"histone"	1
"737"	"AHCYL2"	"histone"	0
"738"	"AIFM1"	"histone"	13
"739"	"AKAP12"	"histone"	8
"740"	"AKAP7"	"histone"	0
"741"	"AKAP9"	"histone"	3
"742"	"ALKBH3"	"histone"	8
"743"	"ALOX15B"	"histone"	2
"744"	"ALPK1"	"histone"	0
"745"	"ANK3"	"histone"	3
"746"	"ANKRD17"	"histone"	1
"747"	"ANKRD36C"	"histone"	0
"748"	"AP2B1"	"histone"	0
"749"	"AP3B1"	"histone"	0
"750"	"AP5M1"	"histone"	0
"751"	"API5"	"histone"	0
"752"	"AQR"	"histone"	0
"753"	"ARFGEF1"	"histone"	4
"754"	"ARHGAP12"	"histone"	0
"755"	"ARHGAP18"	"histone"	1
"756"	"ARHGAP42"	"histone"	0
"757"	"ARID4A"	"histone"	24
"758"	"ARL15"	"histone"	0
"759"	"ARL6IP1"	"histone"	1
"760"	"ARMC8"	"histone"	0
"761"	"ARPC2"	"histone"	0
"762"	"ASCC3"	"histone"	1
"763"	"ASPH"	"histone"	3
"764"	"ATAD1"	"histone"	0
"765"	"ATE1"	"histone"	0
"766"	"ATF1"	"histone"	35
"767"	"ATG2B"	"histone"	1
"768"	"ATG3"	"histone"	10
"769"	"ATG4A"	"histone"	2
"770"	"ATIC"	"histone"	2
"771"	"ATMIN"	"histone"	4
"772"	"ATP11B"	"histone"	0
"773"	"ATP11C"	"histone"	0
"774"	"ATP6V1C1"	"histone"	0
"775"	"ATP6V1D"	"histone"	0
"776"	"ATP6V1E1"	"histone"	0
"777"	"ATP9B"	"histone"	0
"778"	"ATRX"	"histone"	221
"779"	"AZIN1"	"histone"	1
"780"	"BAZ1B"	"histone"	30
"781"	"BBS7"	"histone"	0
"782"	"BCAP29"	"histone"	0
"783"	"BCLAF3"	"histone"	0
"784"	"BLZF1"	"histone"	0
"785"	"BOD1L1"	"histone"	0
"786"	"BROX"	"histone"	0
"787"	"BRWD3"	"histone"	3
"788"	"BZW1"	"histone"	3
"789"	"C10orf76"	"histone"	1
"790"	"C11orf58"	"histone"	0
"791"	"C12orf4"	"histone"	0
"792"	"C1GALT1"	"histone"	0
"793"	"C1orf112"	"histone"	0
"794"	"C1orf27"	"histone"	0
"795"	"C5"	"histone"	53
"796"	"C5orf42"	"histone"	0
"797"	"C6orf62"	"histone"	0
"798"	"CAPZA1"	"histone"	4
"799"	"CAST"	"histone"	46
"800"	"CBX1"	"histone"	57
"801"	"CCAR1"	"histone"	3
"802"	"CCDC91"	"histone"	0
"803"	"CCNG1"	"histone"	16
"804"	"CCP110"	"histone"	1
"805"	"CCSER2"	"histone"	0
"806"	"CCT4"	"histone"	0
"807"	"CD164"	"histone"	0
"808"	"CD46"	"histone"	25
"809"	"CDC37L1"	"histone"	0
"810"	"CDC42BPA"	"histone"	1
"811"	"CDC73"	"histone"	40
"812"	"CENPC"	"histone"	22
"813"	"CEP57"	"histone"	0
"814"	"CEP70"	"histone"	3
"815"	"CEP83"	"histone"	0
"816"	"CFH"	"histone"	5
"817"	"CFTR"	"histone"	54
"818"	"CHD1"	"histone"	122
"819"	"CHD6"	"histone"	10
"820"	"CIR1"	"histone"	3
"821"	"CKAP2"	"histone"	1
"822"	"CLCC1"	"histone"	0
"823"	"CLIP1"	"histone"	0
"824"	"CLTC"	"histone"	1
"825"	"CNDP2"	"histone"	1
"826"	"CNOT1"	"histone"	3
"827"	"CNOT10"	"histone"	0
"828"	"CNOT7"	"histone"	8
"829"	"CNTRL"	"histone"	0
"830"	"COBLL1"	"histone"	2
"831"	"COG5"	"histone"	0
"832"	"COPS2"	"histone"	5
"833"	"COX15"	"histone"	0
"834"	"CREB1"	"histone"	99
"835"	"CS"	"histone"	1970
"836"	"CSE1L"	"histone"	2
"837"	"CSNK1A1"	"histone"	1
"838"	"CTNNB1"	"histone"	147
"839"	"CTR9"	"histone"	26
"840"	"CUL4A"	"histone"	39
"841"	"CWC22"	"histone"	0
"842"	"CYP2C18"	"histone"	1
"843"	"DAAM1"	"histone"	2
"844"	"DAP3"	"histone"	1
"845"	"DARS"	"histone"	1
"846"	"DCAF6"	"histone"	1
"847"	"DCBLD2"	"histone"	0
"848"	"DDHD1"	"histone"	0
"849"	"DENND4A"	"histone"	1
"850"	"DENND4C"	"histone"	0
"851"	"DHX32"	"histone"	0
"852"	"DICER1"	"histone"	35
"853"	"DLD"	"histone"	34
"854"	"DMXL1"	"histone"	1
"855"	"DNAJC10"	"histone"	1
"856"	"DNAJC13"	"histone"	0
"857"	"DNTTIP2"	"histone"	1
"858"	"DPYD"	"histone"	2
"859"	"DYNC1LI1"	"histone"	1
"860"	"DYNLT3"	"histone"	2
"861"	"ECHDC1"	"histone"	0
"862"	"EDEM3"	"histone"	0
"863"	"EED"	"histone"	302
"864"	"EFCAB7"	"histone"	0
"865"	"EFR3A"	"histone"	0
"866"	"EFTUD2"	"histone"	2
"867"	"EIF3A"	"histone"	2
"868"	"EIF3D"	"histone"	0
"869"	"EIF3M"	"histone"	0
"870"	"ELOA"	"histone"	1
"871"	"ELOVL5"	"histone"	0
"872"	"EPB41L4A"	"histone"	4
"873"	"EPC2"	"histone"	2
"874"	"EPS8"	"histone"	4
"875"	"ERC1"	"histone"	0
"876"	"ERGIC2"	"histone"	0
"877"	"ERI2"	"histone"	0
"878"	"EXOC8"	"histone"	1
"879"	"EXOSC9"	"histone"	1
"880"	"FAF1"	"histone"	2
"881"	"FAM102B"	"histone"	0
"882"	"FAM199X"	"histone"	0
"883"	"FAM214A"	"histone"	0
"884"	"FBXL3"	"histone"	3
"885"	"FBXO3"	"histone"	1
"886"	"FBXO30"	"histone"	1
"887"	"FCHO2"	"histone"	0
"888"	"FEM1B"	"histone"	1
"889"	"FGD4"	"histone"	0
"890"	"FGFR1OP2"	"histone"	0
"891"	"FIG4"	"histone"	0
"892"	"FIP1L1"	"histone"	7
"893"	"FNDC3A"	"histone"	0
"894"	"FNIP2"	"histone"	0
"895"	"G3BP1"	"histone"	6
"896"	"GALNT1"	"histone"	0
"897"	"GART"	"histone"	1
"898"	"GCC2"	"histone"	0
"899"	"GCLC"	"histone"	10
"900"	"GFM2"	"histone"	0
"901"	"GGNBP2"	"histone"	0
"902"	"GIGYF2"	"histone"	3
"903"	"GNA13"	"histone"	1
"904"	"GNE"	"histone"	3
"905"	"GOLIM4"	"histone"	0
"906"	"GOPC"	"histone"	1
"907"	"GPATCH2"	"histone"	0
"908"	"GPBP1"	"histone"	1
"909"	"GPHN"	"histone"	2
"910"	"GPN3"	"histone"	2
"911"	"GSKIP"	"histone"	1
"912"	"GTF2H1"	"histone"	1
"913"	"HACD2"	"histone"	0
"914"	"HAT1"	"histone"	145
"915"	"HCFC2"	"histone"	1
"916"	"HDAC2"	"histone"	1601
"917"	"HEATR5A"	"histone"	0
"918"	"HGD"	"histone"	2
"919"	"HIF1A"	"histone"	227
"920"	"HMGB1"	"histone"	584
"921"	"HMGB2"	"histone"	144
"922"	"HNRNPA3"	"histone"	0
"923"	"HNRNPDL"	"histone"	0
"924"	"HNRNPH2"	"histone"	0
"925"	"HNRNPLL"	"histone"	0
"926"	"HOOK3"	"histone"	0
"927"	"HS2ST1"	"histone"	0
"928"	"HSD17B4"	"histone"	1
"929"	"HSPA4"	"histone"	2
"930"	"IBTK"	"histone"	1
"931"	"ICE1"	"histone"	2
"932"	"IDH1"	"histone"	230
"933"	"IDH3A"	"histone"	0
"934"	"IFT80"	"histone"	1
"935"	"IL13RA1"	"histone"	0
"936"	"IMPA1"	"histone"	0
"937"	"INTS12"	"histone"	2
"938"	"IPO7"	"histone"	3
"939"	"IQGAP1"	"histone"	7
"940"	"KANSL1L"	"histone"	0
"941"	"KARS"	"histone"	0
"942"	"KAT2B"	"histone"	39
"943"	"KATNBL1"	"histone"	0
"944"	"KDM3A"	"histone"	137
"945"	"KDM5B"	"histone"	243
"946"	"KIAA1586"	"histone"	0
"947"	"KIF27"	"histone"	0
"948"	"KIF3A"	"histone"	6
"949"	"KIZ"	"histone"	6
"950"	"KLHDC10"	"histone"	0
"951"	"KLHL7"	"histone"	0
"952"	"KLHL8"	"histone"	0
"953"	"KMO"	"histone"	1
"954"	"KNTC1"	"histone"	4
"955"	"KPNA3"	"histone"	0
"956"	"KTN1"	"histone"	0
"957"	"LARP4"	"histone"	0
"958"	"LGALS8"	"histone"	0
"959"	"LIG4"	"histone"	27
"960"	"LIN7C"	"histone"	0
"961"	"LMBRD2"	"histone"	0
"962"	"LRPPRC"	"histone"	2
"963"	"LRRC40"	"histone"	0
"964"	"LUC7L3"	"histone"	2
"965"	"LYSMD3"	"histone"	0
"966"	"MALT1"	"histone"	2
"967"	"MAN2A1"	"histone"	0
"968"	"MAP3K4"	"histone"	6
"969"	"MAP4K5"	"histone"	0
"970"	"MAP9"	"histone"	2
"971"	"MAPK9"	"histone"	0
"972"	"MBD4"	"histone"	29
"973"	"MBNL1"	"histone"	0
"974"	"MBNL2"	"histone"	0
"975"	"MBNL3"	"histone"	0
"976"	"MECOM"	"histone"	45
"977"	"MED13"	"histone"	4
"978"	"MED21"	"histone"	2
"979"	"MED23"	"histone"	8
"980"	"METTL4"	"histone"	2
"981"	"MFN1"	"histone"	3
"982"	"MFSD2A"	"histone"	0
"983"	"MIB1"	"histone"	11
"984"	"MICU1"	"histone"	1
"985"	"MIPOL1"	"histone"	0
"986"	"MIS18BP1"	"histone"	12
"987"	"MKL2"	"histone"	3
"988"	"MLLT3"	"histone"	95
"989"	"MMAA"	"histone"	0
"990"	"MNAT1"	"histone"	1
"991"	"MOB1B"	"histone"	0
"992"	"MORC4"	"histone"	0
"993"	"MORF4L1"	"histone"	22
"994"	"MOSPD1"	"histone"	0
"995"	"MOSPD2"	"histone"	0
"996"	"MR1"	"histone"	2
"997"	"MRPL3"	"histone"	0
"998"	"MRPL47"	"histone"	0
"999"	"MSH2"	"histone"	57
"1000"	"MTDH"	"histone"	6
"1001"	"MTMR6"	"histone"	0
"1002"	"MTUS1"	"histone"	2
"1003"	"MYO6"	"histone"	1
"1004"	"MYO9A"	"histone"	0
"1005"	"MYSM1"	"histone"	23
"1006"	"NAA16"	"histone"	0
"1007"	"NAA50"	"histone"	4
"1008"	"NADK2"	"histone"	0
"1009"	"NAE1"	"histone"	0
"1010"	"NAP1L1"	"histone"	50
"1011"	"NBAS"	"histone"	1
"1012"	"NBEA"	"histone"	1
"1013"	"NBEAL1"	"histone"	0
"1014"	"NEGR1"	"histone"	0
"1015"	"NKAP"	"histone"	7
"1016"	"NMD3"	"histone"	0
"1017"	"NNT"	"histone"	3
"1018"	"NOC3L"	"histone"	6
"1019"	"NOL8"	"histone"	1
"1020"	"NR2C1"	"histone"	5
"1021"	"NSDHL"	"histone"	1
"1022"	"NSMCE2"	"histone"	10
"1023"	"NT5DC1"	"histone"	0
"1024"	"NTN4"	"histone"	2
"1025"	"NUP54"	"histone"	1
"1026"	"NXT2"	"histone"	0
"1027"	"OCRL"	"histone"	1
"1028"	"ODF2L"	"histone"	0
"1029"	"OGFOD1"	"histone"	2
"1030"	"OSBPL8"	"histone"	0
"1031"	"P4HA1"	"histone"	2
"1032"	"PALB2"	"histone"	8
"1033"	"PAPOLA"	"histone"	0
"1034"	"PDE4DIP"	"histone"	0
"1035"	"PDE8A"	"histone"	0
"1036"	"PDIA3"	"histone"	6
"1037"	"PEX3"	"histone"	2
"1038"	"PHF14"	"histone"	2
"1039"	"PHF20L1"	"histone"	7
"1040"	"PHIP"	"histone"	9
"1041"	"PHKB"	"histone"	1
"1042"	"PIAS2"	"histone"	5
"1043"	"PIBF1"	"histone"	0
"1044"	"PIGN"	"histone"	1
"1045"	"PIK3C3"	"histone"	1
"1046"	"PIK3CA"	"histone"	60
"1047"	"PKN2"	"histone"	1
"1048"	"PLA2G4A"	"histone"	24
"1049"	"PLEKHA5"	"histone"	0
"1050"	"PLOD2"	"histone"	2
"1051"	"PNN"	"histone"	4
"1052"	"PNPLA8"	"histone"	0
"1053"	"PNRC2"	"histone"	1
"1054"	"POLA1"	"histone"	1
"1055"	"POLD3"	"histone"	2
"1056"	"POLR3C"	"histone"	0
"1057"	"POSTN"	"histone"	11
"1058"	"POT1"	"histone"	32
"1059"	"PPFIA1"	"histone"	0
"1060"	"PPIG"	"histone"	0
"1061"	"PPM1B"	"histone"	2
"1062"	"PPP1CB"	"histone"	1
"1063"	"PPP1R12A"	"histone"	5
"1064"	"PPP2R3C"	"histone"	0
"1065"	"PPP2R5C"	"histone"	2
"1066"	"PPP3CA"	"histone"	3
"1067"	"PPP4R3B"	"histone"	0
"1068"	"PPP6C"	"histone"	3
"1069"	"PPP6R3"	"histone"	0
"1070"	"PREP"	"histone"	13
"1071"	"PRKAA1"	"histone"	8
"1072"	"PRKDC"	"histone"	105
"1073"	"PRPF39"	"histone"	0
"1074"	"PRPF4B"	"histone"	2
"1075"	"PSMD1"	"histone"	0
"1076"	"PTDSS1"	"histone"	0
"1077"	"PTGES3"	"histone"	0
"1078"	"PTPN2"	"histone"	4
"1079"	"RAB18"	"histone"	6
"1080"	"RAB8B"	"histone"	0
"1081"	"RABGAP1L"	"histone"	0
"1082"	"RAD17"	"histone"	41
"1083"	"RAD21"	"histone"	250
"1084"	"RAI14"	"histone"	2
"1085"	"RANBP2"	"histone"	14
"1086"	"RANBP9"	"histone"	1
"1087"	"RAP1GDS1"	"histone"	0
"1088"	"RAPGEF2"	"histone"	2
"1089"	"RARS"	"histone"	42
"1090"	"RB1"	"histone"	108
"1091"	"RBBP4"	"histone"	76
"1092"	"RBM39"	"histone"	1
"1093"	"RDH11"	"histone"	1
"1094"	"RFX7"	"histone"	1
"1095"	"RHOT1"	"histone"	1
"1096"	"RICTOR"	"histone"	11
"1097"	"RNMT"	"histone"	3
"1098"	"ROBO1"	"histone"	6
"1099"	"ROCK1"	"histone"	15
"1100"	"ROCK2"	"histone"	10
"1101"	"RORA"	"histone"	17
"1102"	"RPRD1A"	"histone"	2
"1103"	"RPS6KC1"	"histone"	0
"1104"	"RSRC2"	"histone"	0
"1105"	"RTN4"	"histone"	1
"1106"	"SACM1L"	"histone"	1
"1107"	"SAMSN1"	"histone"	1
"1108"	"SBNO1"	"histone"	1
"1109"	"SEC23A"	"histone"	1
"1110"	"SEC24B"	"histone"	0
"1111"	"SEC24D"	"histone"	0
"1112"	"SECISBP2L"	"histone"	0
"1113"	"SEL1L3"	"histone"	0
"1114"	"SENP6"	"histone"	5
"1115"	"SERAC1"	"histone"	0
"1116"	"SF3B1"	"histone"	21
"1117"	"SGCB"	"histone"	0
"1118"	"SH3YL1"	"histone"	1
"1119"	"SHOC2"	"histone"	0
"1120"	"SHPRH"	"histone"	12
"1121"	"SKIV2L2"	"histone"	4
"1122"	"SLC1A3"	"histone"	7
"1123"	"SLC30A5"	"histone"	0
"1124"	"SLC39A10"	"histone"	1
"1125"	"SLC4A4"	"histone"	0
"1126"	"SLC9A6"	"histone"	2
"1127"	"SLTM"	"histone"	0
"1128"	"SMAD2"	"histone"	174
"1129"	"SMARCA5"	"histone"	115
"1130"	"SMC1A"	"histone"	104
"1131"	"SMC5"	"histone"	104
"1132"	"SMNDC1"	"histone"	1
"1133"	"SNAP23"	"histone"	0
"1134"	"SNX4"	"histone"	0
"1135"	"SOCS4"	"histone"	0
"1136"	"SOCS5"	"histone"	3
"1137"	"SP4"	"histone"	12
"1138"	"SPINK5"	"histone"	0
"1139"	"SRBD1"	"histone"	0
"1140"	"SREK1"	"histone"	0
"1141"	"SRP54"	"histone"	0
"1142"	"SRPK2"	"histone"	4
"1143"	"SRPRB"	"histone"	0
"1144"	"SRSF11"	"histone"	2
"1145"	"ST3GAL5"	"histone"	2
"1146"	"ST3GAL6"	"histone"	1
"1147"	"STAG2"	"histone"	47
"1148"	"STK17B"	"histone"	0
"1149"	"STRN"	"histone"	2
"1150"	"STX17"	"histone"	0
"1151"	"SUCLA2"	"histone"	0
"1152"	"SUCO"	"histone"	0
"1153"	"SUMO4"	"histone"	0
"1154"	"SYF2"	"histone"	0
"1155"	"SYNJ1"	"histone"	0
"1156"	"TAB2"	"histone"	7
"1157"	"TAF1D"	"histone"	0
"1158"	"TANK"	"histone"	17
"1159"	"TCF12"	"histone"	11
"1160"	"TDP2"	"histone"	3
"1161"	"TERF1"	"histone"	6
"1162"	"TFPI"	"histone"	17
"1163"	"THADA"	"histone"	0
"1164"	"THUMPD1"	"histone"	0
"1165"	"TIPRL"	"histone"	2
"1166"	"TLK1"	"histone"	18
"1167"	"TLR3"	"histone"	31
"1168"	"TM9SF3"	"histone"	1
"1169"	"TMCC1"	"histone"	0
"1170"	"TMEM164"	"histone"	0
"1171"	"TMEM167A"	"histone"	0
"1172"	"TMEM263"	"histone"	0
"1173"	"TMEM268"	"histone"	0
"1174"	"TMEM30A"	"histone"	0
"1175"	"TMEM87A"	"histone"	0
"1176"	"TMF1"	"histone"	1
"1177"	"TOGARAM1"	"histone"	0
"1178"	"TOP1"	"histone"	65
"1179"	"TOPORS"	"histone"	3
"1180"	"TPK1"	"histone"	0
"1181"	"TPP2"	"histone"	0
"1182"	"TRAPPC6B"	"histone"	0
"1183"	"TRIP11"	"histone"	0
"1184"	"TRIP12"	"histone"	4
"1185"	"TRMT1L"	"histone"	0
"1186"	"TRPM7"	"histone"	5
"1187"	"TSNAX"	"histone"	2
"1188"	"TTC1"	"histone"	0
"1189"	"TTC17"	"histone"	0
"1190"	"TTC37"	"histone"	0
"1191"	"TTC39B"	"histone"	0
"1192"	"TWSG1"	"histone"	0
"1193"	"TXNDC9"	"histone"	0
"1194"	"UBA3"	"histone"	2
"1195"	"UBA6"	"histone"	3
"1196"	"UBE2H"	"histone"	4
"1197"	"UBE2Q2"	"histone"	0
"1198"	"UBE2W"	"histone"	0
"1199"	"UBLCP1"	"histone"	1
"1200"	"UBR2"	"histone"	8
"1201"	"UBR5"	"histone"	9
"1202"	"UBXN4"	"histone"	1
"1203"	"UEVLD"	"histone"	0
"1204"	"UFL1"	"histone"	1
"1205"	"UFM1"	"histone"	2
"1206"	"UGP2"	"histone"	1
"1207"	"USO1"	"histone"	0
"1208"	"USP16"	"histone"	17
"1209"	"USP24"	"histone"	3
"1210"	"USP25"	"histone"	3
"1211"	"USP8"	"histone"	4
"1212"	"UVRAG"	"histone"	4
"1213"	"VPS13A"	"histone"	1
"1214"	"VPS26A"	"histone"	0
"1215"	"VPS36"	"histone"	1
"1216"	"VPS41"	"histone"	0
"1217"	"VPS45"	"histone"	0
"1218"	"VPS50"	"histone"	0
"1219"	"VPS8"	"histone"	0
"1220"	"VRK2"	"histone"	2
"1221"	"VWA8"	"histone"	0
"1222"	"WDR33"	"histone"	1
"1223"	"WDR44"	"histone"	0
"1224"	"WDR48"	"histone"	2
"1225"	"XPA"	"histone"	49
"1226"	"XPO4"	"histone"	0
"1227"	"XRCC4"	"histone"	42
"1228"	"XRN1"	"histone"	8
"1229"	"YAP1"	"histone"	48
"1230"	"ZC3H6"	"histone"	0
"1231"	"ZDHHC3"	"histone"	0
"1232"	"ZEB1"	"histone"	107
"1233"	"ZFAND1"	"histone"	0
"1234"	"ZFP30"	"histone"	0
"1235"	"ZFYVE16"	"histone"	1
"1236"	"ZMYM4"	"histone"	0
"1237"	"ZMYND11"	"histone"	20
"1238"	"ZNF138"	"histone"	0
"1239"	"ZNF140"	"histone"	0
"1240"	"ZNF146"	"histone"	0
"1241"	"ZNF175"	"histone"	0
"1242"	"ZNF197"	"histone"	1
"1243"	"ZNF260"	"histone"	0
"1244"	"ZNF280C"	"histone"	0
"1245"	"ZNF330"	"histone"	0
"1246"	"ZNF347"	"histone"	0
"1247"	"ZNF354A"	"histone"	0
"1248"	"ZNF354B"	"histone"	0
"1249"	"ZNF43"	"histone"	1
"1250"	"ZNF438"	"histone"	0
"1251"	"ZNF470"	"histone"	0
"1252"	"ZNF521"	"histone"	9
"1253"	"ZNF561"	"histone"	0
"1254"	"ZNF638"	"histone"	1
"1255"	"ZNF644"	"histone"	3
"1256"	"ZNF699"	"histone"	0
"1257"	"ZNF708"	"histone"	0
"1258"	"ZNF75A"	"histone"	0
"1259"	"ZNF791"	"histone"	0
"1260"	"ZNF83"	"histone"	0
"1261"	"ZNF841"	"histone"	0
"1262"	"ZNF845"	"histone"	0
"1263"	"ZRANB2"	"histone"	0
"1264"	"GAS5"	"histone"	11
"1265"	"GADD45GIP1"	"histone"	3
"1266"	"RPL10A"	"histone"	0
"1267"	"SNORD6"	"histone"	0
"1268"	"S100A3"	"histone"	0
"1269"	"KREMEN1"	"histone"	1
"1270"	"SEMA3B"	"histone"	1
"1271"	"ZNF703"	"histone"	2
"1272"	"APH1A"	"histone"	1
"1273"	"MYADM"	"histone"	1
"1274"	"TMEM128"	"histone"	0
"1275"	"MRPL10"	"histone"	0
"1276"	"ITM2A"	"histone"	0
"1277"	"FEM1A"	"histone"	1
"1278"	"ZFP92"	"histone"	0
"1279"	"CBY1"	"histone"	0
"1280"	"DVL1"	"histone"	6
"1281"	"FZD1"	"histone"	0
"1282"	"DYNLRB1"	"histone"	0
"1283"	"ALS2CL"	"histone"	0
"1284"	"SLITRK2"	"histone"	0
"1285"	"ANXA11"	"histone"	1
"1286"	"ANO1"	"histone"	5
"1287"	"ILK"	"histone"	7
"1288"	"FXYD3"	"histone"	1
"1289"	"VOPP1"	"histone"	0
"1290"	"PRELID1"	"histone"	0
"1291"	"ST8SIA1"	"histone"	1
"1292"	"ZFP36L1"	"histone"	3
"1293"	"CUTA"	"histone"	1
"1294"	"HMGCLL1"	"histone"	0
"1295"	"FAM220A"	"histone"	0
"1296"	"PCDHB10"	"histone"	0
"1297"	"MIR130A"	"histone"	1
"1298"	"PCDHB15"	"histone"	0
"1299"	"HERPUD2"	"histone"	0
"1300"	"SIGIRR"	"histone"	1
"1301"	"OTUD1"	"histone"	0
"1302"	"SCARA3"	"histone"	1
"1303"	"TMEM230"	"histone"	0
"1304"	"OTUB1"	"histone"	4
"1305"	"YIF1B"	"histone"	0
"1306"	"PLXNA3"	"histone"	1
"1307"	"CNKSR1"	"histone"	0
"1308"	"BST2"	"histone"	3
"1309"	"RFXANK"	"histone"	6
"1310"	"RPS28"	"histone"	0
"1311"	"FAM109A"	"histone"	0
"1312"	"C4orf46"	"histone"	0
"1313"	"MFSD10"	"histone"	1
"1314"	"ADGRL3"	"histone"	0
"1315"	"OXLD1"	"histone"	0
"1316"	"TAZ"	"histone"	29
"1317"	"HNRNPUL1"	"histone"	5
"1318"	"FGFRL1"	"histone"	3
"1319"	"SCAND1"	"histone"	0
"1320"	"INF2"	"histone"	1
"1321"	"EGLN3"	"histone"	6
"1322"	"ERGIC3"	"histone"	0
"1323"	"THAP7"	"histone"	6
"1324"	"UNC93B1"	"histone"	0
"1325"	"NDUFB9"	"histone"	2
"1326"	"H3F3A"	"histone"	159
"1327"	"IFI27L2"	"histone"	0
"1328"	"EVA1B"	"histone"	0
"1329"	"ZFPM1"	"histone"	22
"1330"	"CD2BP2"	"histone"	0
"1331"	"FLOT1"	"histone"	1
"1332"	"HDAC4"	"histone"	892
"1333"	"TMEM55B"	"histone"	0
"1334"	"CLN3"	"histone"	20
"1335"	"DPP7"	"histone"	0
"1336"	"DPH7"	"histone"	0
"1337"	"TMEM138"	"histone"	0
"1338"	"SPAG7"	"histone"	0
"1339"	"PCDHB16"	"histone"	0
"1340"	"MRPL14"	"histone"	0
"1341"	"TARBP2"	"histone"	3
"1342"	"RANGRF"	"histone"	0
"1343"	"RBM42"	"histone"	0
"1344"	"TM2D1"	"histone"	0
"1345"	"GABARAPL2"	"histone"	2
"1346"	"TRIP6"	"histone"	1
"1347"	"ZNF837"	"histone"	0
"1348"	"TEAD3"	"histone"	0
"1349"	"EXOSC4"	"histone"	0
"1350"	"BAX"	"histone"	765
"1351"	"TIMM44"	"histone"	0
"1352"	"FLAD1"	"histone"	0
"1353"	"NR1H2"	"histone"	0
"1354"	"MMP24"	"histone"	0
"1355"	"TMEM65"	"histone"	0
"1356"	"COL21A1"	"histone"	0
"1357"	"NHP2"	"histone"	4
"1358"	"ID2"	"histone"	46
"1359"	"DUSP22"	"histone"	0
"1360"	"COASY"	"histone"	0
"1361"	"MPV17"	"histone"	1
"1362"	"SNRPD2"	"histone"	0
"1363"	"COMMD7"	"histone"	0
"1364"	"ANKRD16"	"histone"	0
"1365"	"MRPL11"	"histone"	0
"1366"	"POLR2K"	"histone"	0
"1367"	"MFSD5"	"histone"	0
"1368"	"UBE2J2"	"histone"	0
"1369"	"BCKDK"	"histone"	0
"1370"	"RHOG"	"histone"	2
"1371"	"C19orf24"	"histone"	0
"1372"	"UCK1"	"histone"	0
"1373"	"STYXL1"	"histone"	0
"1374"	"ALKBH2"	"histone"	4
"1375"	"SMAD7"	"histone"	54
"1376"	"PUS1"	"histone"	0
"1377"	"VPS25"	"histone"	2
"1378"	"NUDT16L1"	"histone"	1
