"Genes"	"Topic"	"count"
"153"	"ELOVL5"	"ACE2"	0
"154"	"EPB41L4A"	"ACE2"	0
"155"	"EPC2"	"ACE2"	0
"156"	"EPS8"	"ACE2"	0
"157"	"ERC1"	"ACE2"	0
"158"	"ERGIC2"	"ACE2"	0
"159"	"ERI2"	"ACE2"	0
"160"	"EXOC8"	"ACE2"	0
"161"	"EXOSC9"	"ACE2"	0
"162"	"FAF1"	"ACE2"	0
"163"	"FAM102B"	"ACE2"	0
"164"	"FAM199X"	"ACE2"	0
"165"	"FAM214A"	"ACE2"	0
"166"	"FBXL3"	"ACE2"	0
"167"	"FBXO3"	"ACE2"	0
"168"	"FBXO30"	"ACE2"	0
"169"	"FCHO2"	"ACE2"	0
"170"	"FEM1B"	"ACE2"	0
"171"	"FGD4"	"ACE2"	0
"172"	"FGFR1OP2"	"ACE2"	0
"173"	"FIG4"	"ACE2"	0
"174"	"FIP1L1"	"ACE2"	0
"175"	"FNDC3A"	"ACE2"	0
"176"	"FNIP2"	"ACE2"	0
"177"	"G3BP1"	"ACE2"	0
"178"	"GALNT1"	"ACE2"	0
"179"	"GART"	"ACE2"	0
"180"	"GCC2"	"ACE2"	0
"181"	"GCLC"	"ACE2"	0
"182"	"GFM2"	"ACE2"	0
"183"	"GGNBP2"	"ACE2"	0
"184"	"GIGYF2"	"ACE2"	0
"185"	"GNA13"	"ACE2"	0
"186"	"GNE"	"ACE2"	0
"187"	"GOLIM4"	"ACE2"	0
"188"	"GOPC"	"ACE2"	0
"189"	"GPATCH2"	"ACE2"	0
"190"	"GPBP1"	"ACE2"	0
"191"	"GPHN"	"ACE2"	0
"192"	"GPN3"	"ACE2"	0
"193"	"GSKIP"	"ACE2"	0
"194"	"GTF2H1"	"ACE2"	0
"195"	"HACD2"	"ACE2"	0
"196"	"HAT1"	"ACE2"	0
"197"	"HCFC2"	"ACE2"	0
"198"	"HDAC2"	"ACE2"	0
"199"	"HEATR5A"	"ACE2"	0
"200"	"HGD"	"ACE2"	0
"201"	"HIF1A"	"ACE2"	2
"202"	"HMGB1"	"ACE2"	3
"203"	"HMGB2"	"ACE2"	0
"204"	"HNRNPA3"	"ACE2"	0
"205"	"HNRNPDL"	"ACE2"	0
"206"	"HNRNPH2"	"ACE2"	0
"207"	"HNRNPLL"	"ACE2"	0
"208"	"HOOK3"	"ACE2"	0
"209"	"HS2ST1"	"ACE2"	0
"210"	"HSD17B4"	"ACE2"	0
"211"	"HSPA4"	"ACE2"	0
"212"	"IBTK"	"ACE2"	0
"213"	"ICE1"	"ACE2"	0
"214"	"IDH1"	"ACE2"	0
