,0,1,2,3,4,5,6
12,Costa Rica,23,0.0,0.0,0.0,Local transmission,2.0
13,Bolivia (PlurinationalState of),11,8.0,0.0,0.0,Imported cases only,0.0
14,Jamaica,10,2.0,0.0,0.0,Local transmission,0.0
15,Paraguay,8,2.0,0.0,0.0,Local transmission,0.0
16,Dominican Republic,5,0.0,0.0,0.0,Imported cases only,6.0
17,Cuba,4,0.0,0.0,0.0,Imported cases only,2.0
18,Guyana,4,3.0,1.0,0.0,Local transmission,0.0
19,Uruguay,4,4.0,0.0,0.0,Imported cases only,0.0
20,Honduras,2,0.0,0.0,0.0,Imported cases only,4.0
21,Trinidad and Tobago,2,1.0,0.0,0.0,Imported cases only,0.0
22,Venezuela (BolivarianRepublic of),2,0.0,0.0,0.0,Imported cases only,2.0
23,Antigua and Barbuda,1,0.0,0.0,0.0,Imported cases only,2.0
24,Guatemala,1,0.0,1.0,0.0,Imported cases only,1.0
25,Saint Lucia,1,0.0,0.0,0.0,Imported cases only,1.0
26,Saint Vincent and theGrenadines,1,0.0,0.0,0.0,Imported cases only,3.0
27,Suriname,1,0.0,0.0,0.0,Imported cases only,1.0
28,,erritories**,,,,,
29,Martinique,15,5.0,0.0,0.0,Imported cases only,0.0
30,French Guiana,7,0.0,0.0,0.0,Imported cases only,2.0
31,Guadeloupe,6,3.0,0.0,0.0,Imported cases only,0.0
32,Puerto Rico,3,0.0,0.0,0.0,Imported cases only,2.0
33,Saint Barthelemy,3,2.0,0.0,0.0,Under investigation,0.0
34,Curaçao,2,0.0,0.0,0.0,Imported cases only,1.0
35,Saint Martin,2,0.0,0.0,0.0,Under investigation,13.0
36,Cayman Islands,1,0.0,1.0,1.0,Imported cases only,1.0
37,,frican Region,,,,,
38,South Africa,51,13.0,0.0,0.0,Local transmission,0.0
39,Algeria,49,12.0,3.0,0.0,Local transmission,0.0
40,Senegal,26,5.0,0.0,0.0,Local transmission,0.0
41,Rwanda,5,5.0,0.0,0.0,Local transmission,0.0
42,Burkina Faso,3,0.0,0.0,0.0,Imported cases only,1.0
43,Cameroon,3,0.0,0.0,0.0,Local transmission,1.0
44,Cote d’Ivoire,3,0.0,0.0,0.0,Imported cases only,1.0
45,Democratic Republicof the Congo,2,0.0,0.0,0.0,Imported cases only,2.0
46,Ghana,2,0.0,0.0,0.0,Imported cases only,1.0
47,Namibia,2,0.0,0.0,0.0,Imported cases only,1.0
0,Nigeria,2.0,0.0,0.0,0.0,Imported cases only,7.0
1,Seychelles,2.0,2.0,0.0,0.0,Imported cases only,0.0
2,Central African,,,,,,
3,,1.0,0.0,0.0,0.0,Imported cases only,1.0
4,Republic,,,,,,
5,Congo,1.0,0.0,0.0,0.0,Imported cases only,1.0
