,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
11,Djibouti,3,0.0,0.0,0.0,Imported cases only,1.0
12,Sudan,3,1.0,1.0,0.0,Imported cases only,0.0
13,Libya,1,1.0,0.0,0.0,Imported cases only,0.0
14,Somalia,1,0.0,0.0,0.0,Imported cases only,8.0
15,Syrian Arab Republic,1,0.0,0.0,0.0,Imported cases only,2.0
16,,Territories**,,,,,
17,occupied Palestinian territory,60,1.0,0.0,0.0,Local transmission,0.0
18,,Region of the Americas,,,,,
19,United States of America,51914,9750.0,673.0,202.0,Local transmission,0.0
20,Brazil,2201,655.0,46.0,21.0,Local transmission,0.0
21,Canada,1739,307.0,25.0,5.0,Local transmission,0.0
22,Ecuador,1049,259.0,27.0,12.0,Local transmission,0.0
23,Chile,922,176.0,2.0,1.0,Local transmission,0.0
24,Peru,416,21.0,5.0,3.0,Local transmission,0.0
25,Mexico,370,0.0,4.0,0.0,Local transmission,1.0
26,Panama,345,0.0,6.0,0.0,Local transmission,1.0
27,Dominican Republic,312,67.0,6.0,3.0,Local transmission,0.0
28,Colombia,306,29.0,3.0,0.0,Local transmission,0.0
29,Argentina,301,35.0,4.0,0.0,Local transmission,0.0
30,Costa Rica,177,19.0,2.0,0.0,Local transmission,0.0
31,Uruguay,162,0.0,0.0,0.0,Imported cases only,1.0
32,Venezuela (Bolivarian Republic of),77,7.0,0.0,0.0,Local transmission,0.0
33,Trinidad and Tobago,57,6.0,0.0,0.0,Imported cases only,0.0
34,Cuba,48,8.0,1.0,0.0,Local transmission,0.0
35,Honduras,30,0.0,0.0,0.0,Local transmission,1.0
36,Bolivia (Plurinational State of),28,1.0,0.0,0.0,Local transmission,0.0
37,Paraguay,27,5.0,2.0,1.0,Local transmission,0.0
38,Guatemala,21,1.0,1.0,0.0,Local transmission,0.0
39,Jamaica,21,2.0,1.0,0.0,Local transmission,0.0
40,Barbados,18,1.0,0.0,0.0,Local transmission,0.0
41,Haiti,7,1.0,0.0,0.0,Imported cases only,0.0
42,Suriname,6,4.0,0.0,0.0,Imported cases only,0.0
43,El Salvador,5,2.0,0.0,0.0,Imported cases only,0.0
44,Guyana,5,0.0,1.0,0.0,Local transmission,6.0
45,Bahamas,4,0.0,0.0,0.0,Local transmission,4.0
46,Antigua and Barbuda,3,2.0,0.0,0.0,Imported cases only,0.0
47,Saint Lucia,3,0.0,0.0,0.0,Imported cases only,1.0
48,Dominica,2,1.0,0.0,0.0,Imported cases only,0.0
49,Nicaragua,2,0.0,0.0,0.0,Imported cases only,3.0
