,outbreak_qid,outbreak,country_qid,country
173,Q86521237,2020 coronavirus outbreak in Asia,Q232,Kazakhstan
174,Q86521237,2020 coronavirus outbreak in Asia,Q252,Indonesia
175,Q86521237,2020 coronavirus outbreak in Asia,Q334,Singapore
176,Q86521237,2020 coronavirus outbreak in Asia,Q398,Bahrain
177,Q86521237,2020 coronavirus outbreak in Asia,Q399,Armenia
178,Q86521237,2020 coronavirus outbreak in Asia,Q423,North Korea
179,Q86521237,2020 coronavirus outbreak in Asia,Q424,Cambodia
180,Q86521237,2020 coronavirus outbreak in Asia,Q668,India
181,Q86521237,2020 coronavirus outbreak in Asia,Q711,Mongolia
182,Q86521237,2020 coronavirus outbreak in Asia,Q794,Iran
183,Q86521237,2020 coronavirus outbreak in Asia,Q796,Iraq
184,Q86521237,2020 coronavirus outbreak in Asia,Q801,Israel
185,Q86521237,2020 coronavirus outbreak in Asia,Q810,Jordan
186,Q86521237,2020 coronavirus outbreak in Asia,Q817,Kuwait
187,Q86521237,2020 coronavirus outbreak in Asia,Q822,Lebanon
188,Q86521237,2020 coronavirus outbreak in Asia,Q826,Maldives
189,Q86521237,2020 coronavirus outbreak in Asia,Q833,Malaysia
190,Q86521237,2020 coronavirus outbreak in Asia,Q837,Nepal
191,Q86521237,2020 coronavirus outbreak in Asia,Q842,Oman
192,Q86521237,2020 coronavirus outbreak in Asia,Q843,Pakistan
193,Q86521237,2020 coronavirus outbreak in Asia,Q846,Qatar
194,Q86521237,2020 coronavirus outbreak in Asia,Q851,Saudi Arabia
195,Q86521237,2020 coronavirus outbreak in Asia,Q854,Sri Lanka
196,Q86521237,2020 coronavirus outbreak in Asia,Q865,Taiwan
197,Q86521237,2020 coronavirus outbreak in Asia,Q869,Thailand
198,Q86521237,2020 coronavirus outbreak in Asia,Q878,United Arab Emirates
199,Q86521237,2020 coronavirus outbreak in Asia,Q881,Vietnam
200,Q86521237,2020 coronavirus outbreak in Asia,Q884,South Korea
201,Q86521237,2020 coronavirus outbreak in Asia,Q889,Afghanistan
202,Q86521237,2020 coronavirus outbreak in Asia,Q902,Bangladesh
203,Q86521237,2020 coronavirus outbreak in Asia,Q917,Bhutan
204,Q86521237,2020 coronavirus outbreak in Asia,Q921,Brunei
205,Q86521237,2020 coronavirus outbreak in Asia,Q928,Philippines
206,Q86521237,2020 coronavirus outbreak in Asia,Q219060,State of Palestine
207,Q86597685,2020 coronavirus outbreak in Denmark,Q35,Denmark
208,Q86597695,2020 COVID-19 outbreak in Brazil,Q155,Brazil
209,Q86628344,2020 coronavirus outbreak in Mexico,Q96,Mexico
210,Q86675924,2019–20 coronavirus outbreak in North Korea,Q423,North Korea
