,country,total_cases,cases_today,na,total_deaths,deaths_today,classification,says since last case
8,Peru,86,15.0,0.0,0.0,Local transmission,0.0,
9,Panama,69,26.0,1.0,0.0,Local transmission,0.0,
10,Argentina,65,9.0,2.0,0.0,Local transmission,0.0,
11,Ecuador,58,21.0,2.0,0.0,Local transmission,0.0,
12,Mexico,53,0.0,0.0,0.0,Imported cases only,1.0,
13,Colombia,45,21.0,0.0,0.0,Local transmission,0.0,
14,Costa Rica,41,18.0,0.0,0.0,Local transmission,0.0,
15,Venezuela (BolivarianRepublic of),33,16.0,0.0,0.0,Imported cases only,0.0,
16,Dominican Republic,21,16.0,1.0,1.0,Local transmission,0.0,
17,Bolivia (PlurinationalState of),11,0.0,0.0,0.0,Imported cases only,1.0,
18,Jamaica,10,0.0,0.0,0.0,Local transmission,1.0,
19,Paraguay,9,1.0,0.0,0.0,Local transmission,0.0,
20,Honduras,8,6.0,0.0,0.0,Imported cases only,0.0,
21,Uruguay,6,2.0,0.0,0.0,Imported cases only,0.0,
22,Cuba,5,1.0,0.0,0.0,Imported cases only,0.0,
23,Trinidad and Tobago,5,3.0,0.0,0.0,Imported cases only,0.0,
24,Guyana,4,0.0,1.0,0.0,Local transmission,1.0,
25,Saint Lucia,2,0.0,0.0,0.0,Imported cases only,1.0,
26,Antigua and Barbuda,1,0.0,0.0,0.0,Imported cases only,3.0,
27,Bahamas,1,1.0,0.0,0.0,Local transmission,0.0,
28,Guatemala,1,0.0,1.0,0.0,Imported cases only,2.0,
29,Saint Vincent and theGrenadines,1,0.0,0.0,0.0,Imported cases only,4.0,
30,Suriname,1,0.0,0.0,0.0,Imported cases only,1.0,
31,,erritories**,,,,,,
32,Guadeloupe,18,12.0,0.0,0.0,Imported cases only,0.0,
33,Martinique,16,1.0,0.0,0.0,Imported cases only,0.0,
34,French Guiana,7,0.0,0.0,0.0,Imported cases only,3.0,
35,Curaçao,3,1.0,0.0,0.0,Imported cases only,0.0,
36,Puerto Rico,3,0.0,0.0,0.0,Imported cases only,3.0,
37,Saint Barthelemy,3,0.0,0.0,0.0,Under investigation,1.0,
38,Aruba,2,2.0,0.0,0.0,Imported cases only,0.0,
39,Saint Martin,2,0.0,0.0,0.0,Under investigation,14.0,
40,United States VirginIslands,2,2.0,0.0,0.0,Imported cases only,0.0,
41,Cayman Islands,1,0.0,1.0,0.0,Imported cases only,3.0,
42,,frican Region,,,,,,
43,South Africa,62,11.0,0.0,0.0,Local transmission,0.0,
44,Algeria,60,11.0,4.0,1.0,Local transmission,0.0,
45,Senegal,27,1.0,0.0,0.0,Local transmission,0.0,
46,Burkina Faso,15,0.0,0.0,0.0,Imported cases only,1.0,
47,Rwanda,7,2.0,0.0,0.0,Local transmission,0.0,
0,Cote d’Ivoire,6.0,3.0,0.0,0.0,Imported cases only,0.0,
1,Ghana,6.0,0.0,0.0,0.0,Imported cases only,1.0,
2,Cameroon,5.0,2.0,0.0,0.0,Local transmission,0.0,
3,Ethiopia,5.0,4.0,0.0,0.0,Imported cases only,0.0,
4,Seychelles,4.0,2.0,0.0,0.0,Imported cases only,0.0,
5,Democratic Republic,,,,,,,
6,,3.0,1.0,0.0,0.0,Imported cases only,0.0,
7,of the Congo,,,,,,,
8,Kenya,3.0,2.0,0.0,0.0,Local transmission,0.0,
9,Namibia,2.0,0.0,0.0,0.0,Imported cases only,2.0,
10,Nigeria,2.0,0.0,0.0,0.0,Imported cases only,8.0,
11,Benin,1.0,1.0,0.0,0.0,Imported cases only,0.0,
12,Central African,,,,,,,
13,,1.0,0.0,0.0,0.0,Imported cases only,2.0,
14,Republic,,,,,,,
15,Congo,1.0,0.0,0.0,0.0,Imported cases only,2.0,
16,Equatorial Guinea,1.0,0.0,0.0,0.0,Imported cases only,2.0,
17,Eswatini,1.0,0.0,0.0,0.0,Imported cases only,2.0,
18,Gabon,1.0,0.0,0.0,0.0,Imported cases only,3.0,
19,Guinea,1.0,0.0,0.0,0.0,Imported cases only,3.0,
20,Liberia,1.0,1.0,0.0,0.0,Imported cases only,0.0,
21,Mauritania,1.0,0.0,0.0,0.0,Imported cases only,2.0,
22,Togo,1.0,0.0,0.0,0.0,Imported cases only,10.0,
23,United Republic of,,,,,,,
24,,1.0,1.0,0.0,0.0,Imported cases only,0.0,
25,Tanzania,,,,,,,
26,Territories**,,,,,,,
27,Réunion,9.0,0.0,0.0,0.0,Imported cases only,1.0,
28,Mayotte,1.0,0.0,0.0,0.0,Imported cases only,2.0,
29,Subtotal for all,,,,,,,
30,,178400.0,11526.0,7419.0,475.0,,,
31,regions,,,,,,,
32,International,,,,,,,
33,conveyance,712.0,0.0,7.0,0.0,Local transmission,1.0,
34,(Diamond Princess),,,,,,,
35,Grand total,179112.0,11526.0,7426.0,475.0,,,
