,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
11,Panama,69,26.0,1.0,0.0,Local transmission,0.0
12,Argentina,65,9.0,2.0,0.0,Local transmission,0.0
13,Ecuador,58,21.0,2.0,0.0,Local transmission,0.0
14,Colombia,45,11.0,0.0,0.0,Local transmission,0.0
15,Costa Rica,41,6.0,0.0,0.0,Local transmission,0.0
16,Venezuela (BolivarianRepublic of),33,16.0,0.0,0.0,Imported cases only,0.0
17,Dominican Republic,21,16.0,1.0,1.0,Local transmission,0.0
18,Jamaica,12,2.0,0.0,0.0,Local transmission,0.0
19,Bolivia (PlurinationalState of),11,0.0,0.0,0.0,Imported cases only,1.0
20,Paraguay,9,1.0,0.0,0.0,Local transmission,0.0
21,Honduras,8,6.0,0.0,0.0,Imported cases only,0.0
22,Guatemala,6,5.0,1.0,0.0,Imported cases only,0.0
23,Uruguay,6,2.0,0.0,0.0,Imported cases only,0.0
24,Cuba,5,1.0,0.0,0.0,Imported cases only,0.0
25,Trinidad and Tobago,5,3.0,0.0,0.0,Imported cases only,0.0
26,Guyana,4,0.0,1.0,0.0,Local transmission,2.0
27,Saint Lucia,2,0.0,0.0,0.0,Imported cases only,2.0
28,Antigua and Barbuda,1,0.0,0.0,0.0,Imported cases only,4.0
29,Bahamas,1,1.0,0.0,0.0,Local transmission,0.0
30,Saint Vincent and theGrenadines,1,0.0,0.0,0.0,Imported cases only,4.0
31,Suriname,1,0.0,0.0,0.0,Imported cases only,2.0
32,,erritories**,,,,,
33,Guadeloupe,18,12.0,0.0,0.0,Imported cases only,0.0
34,Martinique,16,0.0,0.0,0.0,Imported cases only,1.0
35,French Guiana,7,0.0,0.0,0.0,Imported cases only,3.0
36,Curacao,3,1.0,0.0,0.0,Imported cases only,0.0
37,Puerto Rico,3,0.0,0.0,0.0,Imported cases only,3.0
38,Saint Barthélemy,3,0.0,0.0,0.0,Under investigation,2.0
39,Aruba,2,2.0,0.0,0.0,Imported cases only,0.0
40,Saint Martin,2,0.0,0.0,0.0,Under investigation,15.0
41,United States VirginIslands,2,1.0,0.0,0.0,Imported cases only,0.0
42,Cayman Islands,1,0.0,1.0,0.0,Imported cases only,4.0
43,,frican Region,,,,,
44,South Africa,62,11.0,0.0,0.0,Local transmission,0.0
45,Algeria,60,11.0,4.0,0.0,Local transmission,0.0
46,Senegal,27,1.0,0.0,0.0,Local transmission,0.0
47,Burkina Faso,20,5.0,0.0,0.0,Imported cases only,0.0
0,Rwanda,7.0,2.0,0.0,0.0,Local transmission,0.0
1,Cote d’Ivoire,6.0,3.0,0.0,0.0,Imported cases only,0.0
2,Ghana,6.0,4.0,0.0,0.0,Imported cases only,0.0
3,Cameroon,5.0,0.0,0.0,0.0,Local transmission,1.0
4,Ethiopia,5.0,1.0,0.0,0.0,Imported cases only,0.0
5,Seychelles,4.0,0.0,0.0,0.0,Imported cases only,1.0
6,Democratic Republic,,,,,,
7,,3.0,1.0,0.0,0.0,Imported cases only,0.0
8,of the Congo,,,,,,
9,Kenya,3.0,0.0,0.0,0.0,Local transmission,1.0
10,Namibia,2.0,0.0,0.0,0.0,Imported cases only,3.0
11,Nigeria,2.0,0.0,0.0,0.0,Imported cases only,8.0
12,Benin,1.0,1.0,0.0,0.0,Imported cases only,0.0
13,Central African,,,,,,
